audio	n_frames	sr	id	src_text	tgt_text
buffer/common_voice_en_78232.wav	15744	16000	common_voice_en_78232	i wish you wouldn't	Ich wünschte, du ließest es bleiben.
buffer/common_voice_en_544890.wav	17664	16000	common_voice_en_544890	all the best	Schöne Grüße.
buffer/common_voice_en_86005.wav	17664	16000	common_voice_en_86005	wild-goose chase	Jagd auf Wildgänse
buffer/common_voice_en_557962.wav	18816	16000	common_voice_en_557962	he's on the telephone	Am Telefon ist er.
buffer/common_voice_en_552064.wav	18816	16000	common_voice_en_552064	where do you come from	Woher kommst du?
buffer/common_voice_en_513863.wav	18816	16000	common_voice_en_513863	they'll take care of it	Sie kümmern sich drum.
buffer/common_voice_en_652285.wav	18816	16000	common_voice_en_652285	then whose is it	Wem gehört sie dann?
buffer/common_voice_en_544873.wav	19200	16000	common_voice_en_544873	they'll take care of it	Sie kümmern sich drum.
buffer/common_voice_en_153795.wav	19584	16000	common_voice_en_153795	we can both hear	Wir können beide hören.
buffer/common_voice_en_221976.wav	19584	16000	common_voice_en_221976	one that will write	Eine, die schreiben wird.
buffer/common_voice_en_35570.wav	19584	16000	common_voice_en_35570	i tore him apart	Ich habe ihn zerrissen!
buffer/common_voice_en_532793.wav	19584	16000	common_voice_en_532793	high voltage	Hochspannung!
buffer/common_voice_en_3115.wav	19584	16000	common_voice_en_3115	you have no children	Sie sind kinderlos.
buffer/common_voice_en_121676.wav	19584	16000	common_voice_en_121676	join the club	Tritt dem Club bei.
buffer/common_voice_en_121866.wav	19584	16000	common_voice_en_121866	it's on the level	Es ist die reine Wahrheit.
buffer/common_voice_en_121955.wav	19584	16000	common_voice_en_121955	is it a good job	Ist es ein guter Job?
buffer/common_voice_en_212185.wav	19968	16000	common_voice_en_212185	you think you did	Du denkst du hast es getan.
buffer/common_voice_en_78090.wav	19968	16000	common_voice_en_78090	this is christmas eve	Heute ist Heiligabend.
buffer/common_voice_en_499018.wav	19968	16000	common_voice_en_499018	catch a cold	Sich erkälten
buffer/common_voice_en_560230.wav	20352	16000	common_voice_en_560230	you think you did	Du denkst du hast es getan.
buffer/common_voice_en_121653.wav	20352	16000	common_voice_en_121653	he's in the desk	Er ist im Schreibtisch.
buffer/common_voice_en_17724245.wav	20736	16000	common_voice_en_17724245	you don't say so	Was Sie nicht sagen!
buffer/common_voice_en_17704790.wav	20736	16000	common_voice_en_17704790	as sure as i am alive	So sicher, wie ich am Leben bin.
buffer/common_voice_en_662155.wav	20736	16000	common_voice_en_662155	what else are you	Was sind Sie denn sonst noch?
buffer/common_voice_en_78162.wav	20736	16000	common_voice_en_78162	i've got to see him	Ich muss ihn sehen.
buffer/common_voice_en_652792.wav	20736	16000	common_voice_en_652792	try it again	Versuche es wieder.
buffer/common_voice_en_652233.wav	20736	16000	common_voice_en_652233	what did you have	Was hatten Sie?
buffer/common_voice_en_586892.wav	20736	16000	common_voice_en_586892	we want to see you	Wir wollen dich sehen.
buffer/common_voice_en_499216.wav	20736	16000	common_voice_en_499216	swift as a shadow	Schnell wie ein Schatten
buffer/common_voice_en_646090.wav	21120	16000	common_voice_en_646090	please let me come in	Bitte lassen Sie mich eintreten.
buffer/common_voice_en_560574.wav	21504	16000	common_voice_en_560574	join the club	Tritt dem Club bei.
buffer/common_voice_en_553632.wav	21504	16000	common_voice_en_553632	what's the matter with him	Was ist mit ihm los?
buffer/common_voice_en_9331.wav	21504	16000	common_voice_en_9331	wait a minute	Warte kurz.
buffer/common_voice_en_511623.wav	21504	16000	common_voice_en_511623	i have a pet spider	Ich habe eine Spinne als Haustier.
buffer/common_voice_en_652316.wav	21504	16000	common_voice_en_652316	why didn't they wake me	Warum haben sie mich nicht geweckt?
buffer/common_voice_en_586855.wav	21504	16000	common_voice_en_586855	is it chillier here	Ist es hier kühler
buffer/common_voice_en_74391.wav	21888	16000	common_voice_en_74391	what's for dinner tonight	Was gibt es heute Abend zu essen?
buffer/common_voice_en_207103.wav	21888	16000	common_voice_en_207103	in a pickle	In der Klemme.
buffer/common_voice_en_652236.wav	21888	16000	common_voice_en_652236	full circle	Voller Kreis
buffer/common_voice_en_17690113.wav	21888	16000	common_voice_en_17690113	have i offended you	Habe ich dich belogen?
buffer/common_voice_en_122062.wav	21888	16000	common_voice_en_122062	all the best	Schöne Grüße.
